,date,airport_code,airport_name,latitude,longitude,wind_speed
234,2013-01-06,AUS,Austin Bergstrom International Airport,30.197535,-97.662015,3.6
235,2013-01-10,SLC,Salt Lake City International Airport,40.785749,-111.979746,8.8
236,2013-01-13,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,3.9
237,2013-01-17,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,5.3
238,2013-01-21,GSO,Piedmont Triad International Airport,36.097801208496094,-79.93730163574219,4.4
239,2013-01-23,PHL,Philadelphia International Airport,39.87189865112305,-75.24109649658203,4.2
240,2013-01-28,SLC,Salt Lake City International Airport,40.785749,-111.979746,2.1
241,2013-01-29,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,3.3
242,2013-01-30,TPA,Tampa International Airport,27.975500106811523,-82.533203125,5.5
243,2013-10-01,PVD,Theodore Francis Green State Airport,41.732601,-71.420403,2.4
244,2013-10-03,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001,5.9
245,2013-10-07,MDW,Chicago Midway International Airport,41.785999,-87.752403,4.1
246,2013-10-11,DTW,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,1.8
247,2013-10-16,PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905,2.3
248,2013-10-17,MEM,Memphis International Airport,35.04240036010742,-89.97669982910156,2.4
249,2013-10-18,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,6.2
250,2013-10-21,SMF,Sacramento International Airport,38.69540023803711,-121.59100341796875,1.4
251,2013-11-01,DSM,Des Moines International Airport,41.534,-93.663101,5.1
252,2013-11-02,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,3.1
253,2013-11-02,ORF,Norfolk International Airport,36.89459991455078,-76.20120239257812,2.9
254,2013-11-03,BNA,Nashville International Airport,36.1245002746582,-86.6781997680664,1.8
255,2013-11-04,SEA,Seattle Tacoma International Airport,47.449001,-122.308998,1.8
256,2013-11-09,SAN,San Diego International Airport,32.7336006165,-117.190002441,1.4
257,2013-11-12,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,2.7
258,2013-11-12,SDF,Louisville Muhammad Ali International Airport,38.1744,-85.736,6.7
259,2013-11-15,PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905,4.1
260,2013-11-17,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,7.6
261,2013-11-20,TYS,McGhee Tyson Airport,35.81100082,-83.9940033,1.3
262,2013-11-22,MIA,Miami International Airport,25.79319953918457,-80.29060363769531,4.2
263,2013-11-27,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,4.2
264,2013-11-27,ALB,Albany International Airport,42.74829864501953,-73.80169677734375,4.3
265,2013-11-28,CLE,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,3.9
266,2013-11-29,MHT,Manchester-Boston Regional Airport,42.932598,-71.435699,2.9
267,2013-12-02,RIC,Richmond International Airport,37.50519943237305,-77.3197021484375,1.4
268,2013-12-03,CMH,John Glenn Columbus International Airport,39.998001,-82.891899,2.0
269,2013-12-05,OKC,Will Rogers World Airport,35.39310073852539,-97.60070037841797,8.4
270,2013-12-13,SEA,Seattle Tacoma International Airport,47.449001,-122.308998,2.8
271,2013-12-13,MCI,Kansas City International Airport,39.2976,-94.713898,4.1
272,2013-12-19,ROC,Greater Rochester International Airport,43.1189,-77.672401,4.1
273,2013-12-29,FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,4.6
274,2013-12-29,DAY,James M Cox Dayton International Airport,39.902400970458984,-84.21939849853516,5.0
275,2013-12-30,ABQ,Albuquerque International Sunport,35.040199,-106.609001,1.7
276,2013-12-30,LGB,Long Beach Airport (Daugherty Field),33.817699,-118.152,1.5
277,2013-02-02,IND,Indianapolis International Airport,39.7173,-86.294403,5.1
278,2013-02-02,DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,3.2
279,2013-02-04,IAD,Washington Dulles International Airport,38.9445,-77.455803,4.4
280,2013-02-05,LAS,McCarran International Airport,36.08010101,-115.1520004,2.2
281,2013-02-05,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,3.0
282,2013-02-06,ROC,Greater Rochester International Airport,43.1189,-77.672401,4.2
283,2013-02-11,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,3.4
284,2013-02-13,SEA,Seattle Tacoma International Airport,47.449001,-122.308998,4.2
285,2013-02-13,SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266,5.4
286,2013-02-18,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,5.6
287,2013-02-20,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,2.7
288,2013-02-20,PVD,Theodore Francis Green State Airport,41.732601,-71.420403,6.6
289,2013-02-28,MSN,Dane County Regional Truax Field,43.1399,-89.337502,5.3
290,2013-03-01,OMA,Eppley Airfield,41.3032,-95.894096,5.6
291,2013-03-02,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,5.3
292,2013-03-05,SMF,Sacramento International Airport,38.69540023803711,-121.59100341796875,6.1
293,2013-03-11,PWM,Portland International Jetport,43.646198,-70.309303,3.9
294,2013-03-14,PIT,Pittsburgh International Airport,40.49150085,-80.23290253,6.1
295,2013-03-24,ALB,Albany International Airport,42.74829864501953,-73.80169677734375,3.9
296,2013-03-25,IAD,Washington Dulles International Airport,38.9445,-77.455803,2.8
297,2013-03-25,CMH,John Glenn Columbus International Airport,39.998001,-82.891899,3.5
298,2013-03-27,SEA,Seattle Tacoma International Airport,47.449001,-122.308998,1.8
299,2013-04-01,BNA,Nashville International Airport,36.1245002746582,-86.6781997680664,3.2
300,2013-04-02,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,3.7
301,2013-04-04,RIC,Richmond International Airport,37.50519943237305,-77.3197021484375,2.5
302,2013-04-05,MHT,Manchester-Boston Regional Airport,42.932598,-71.435699,4.6
303,2013-04-05,BTV,Burlington International Airport,44.471900939899996,-73.15329742429999,5.9
304,2013-04-13,AUS,Austin Bergstrom International Airport,30.197535,-97.662015,2.7
305,2013-04-14,SDF,Louisville Muhammad Ali International Airport,38.1744,-85.736,3.5
306,2013-04-18,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,2.6
307,2013-04-21,AVL,Asheville Regional Airport,35.436199,-82.541801,2.2
308,2013-04-22,LAX,Los Angeles International Airport,33.942501,-118.407997,3.3
309,2013-04-22,IAD,Washington Dulles International Airport,38.9445,-77.455803,3.4
310,2013-03-19,MHT,Manchester-Boston Regional Airport,42.932598,-71.435699,4.4
311,2013-01-01,LAX,Los Angeles International Airport,33.942501,-118.407997,1.9
312,2013-01-01,HOU,William P Hobby Airport,29.64539909,-95.27890015,5.6
313,2013-01-01,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,2.6
314,2013-01-02,BOS,Logan International Airport,42.3643,-71.005203,6.0
315,2013-01-03,SAT,San Antonio International Airport,29.533701,-98.469803,3.3
316,2013-01-04,LGB,Long Beach Airport (Daugherty Field),33.817699,-118.152,1.6
317,2013-01-06,LAX,Los Angeles International Airport,33.942501,-118.407997,2.8
318,2013-01-08,CRW,Yeager Airport,38.37310028076172,-81.59320068359375,2.3
319,2013-01-09,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,3.5
320,2013-01-10,SEA,Seattle Tacoma International Airport,47.449001,-122.308998,2.2
321,2013-01-20,DEN,Denver International Airport,39.861698150635,-104.672996521,3.7
