date,airport_code,airport_name,latitude,longitude,wind_speed
2013-11-27,PHL,Philadelphia International Airport,39.87189865112305,-75.24109649658203,6.7
2013-02-26,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,5.8
2013-12-07,SFO,San Francisco International Airport,37.61899948120117,-122.375,6.0
2013-01-19,EWR,Newark Liberty International Airport,40.692501,-74.168701,7.0
2013-11-04,JFK,John F Kennedy International Airport,40.639801,-73.7789,4.5
2013-02-18,JFK,John F Kennedy International Airport,40.639801,-73.7789,7.5
2013-03-16,EWR,Newark Liberty International Airport,40.692501,-74.168701,3.5
2013-09-11,EWR,Newark Liberty International Airport,40.692501,-74.168701,4.4
2013-06-26,IAH,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,3.6
2013-10-13,MKE,General Mitchell International Airport,42.947200775146484,-87.89659881591797,3.0
2013-11-19,ABQ,Albuquerque International Sunport,35.040199,-106.609001,1.8
2013-12-04,AVL,Asheville Regional Airport,35.436199,-82.541801,2.4
2013-04-04,DSM,Des Moines International Airport,41.534,-93.663101,4.1
2013-10-25,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,4.9
2013-11-10,CAE,Columbia Metropolitan Airport,33.93880081176758,-81.11949920654297,1.5
2013-02-08,CLE,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,8.2
2013-04-02,BUR,Bob Hope Airport,34.197703,-118.356378,2.0
2013-10-21,SMF,Sacramento International Airport,38.69540023803711,-121.59100341796875,1.4
2013-02-08,BTV,Burlington International Airport,44.471900939899996,-73.15329742429999,1.9
2013-02-16,SNA,John Wayne Airport-Orange County Airport,33.675701,-117.867996,2.2
2013-12-07,TPA,Tampa International Airport,27.975500106811523,-82.533203125,3.0
2013-12-19,OMA,Eppley Airfield,41.3032,-95.894096,6.2
2013-11-18,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,1.6
2013-03-31,PWM,Portland International Jetport,43.646198,-70.309303,3.8
2013-10-28,PHL,Philadelphia International Airport,39.87189865112305,-75.24109649658203,1.6
2013-11-15,CHS,Charleston International Airport,32.898602,-80.040497,2.1
2013-10-04,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,7.0
2013-10-19,SFO,San Francisco International Airport,37.61899948120117,-122.375,3.9
2013-11-24,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,4.0
2013-09-28,AVL,Asheville Regional Airport,35.436199,-82.541801,1.4
2013-11-03,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,6.4
2013-11-30,RIC,Richmond International Airport,37.50519943237305,-77.3197021484375,2.4
2013-04-06,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,4.7
2013-11-14,SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,3.7
2013-11-05,SJC,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,2.5
2013-04-15,PDX,Portland International Airport,45.58869934,-122.5979996,2.2
2013-04-17,RIC,Richmond International Airport,37.50519943237305,-77.3197021484375,3.5
2013-04-21,OMA,Eppley Airfield,41.3032,-95.894096,6.5
2013-01-29,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,3.1
2013-01-12,EGE,Eagle County Regional Airport,39.64260101,-106.9179993,1.9
2013-12-12,OMA,Eppley Airfield,41.3032,-95.894096,3.6
2013-10-07,SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266,2.5
2013-10-24,ORD,Chicago O'Hare International Airport,41.9786,-87.9048,4.9
2013-01-17,MEM,Memphis International Airport,35.04240036010742,-89.97669982910156,3.5
2013-12-16,LAS,McCarran International Airport,36.08010101,-115.1520004,2.8
2013-12-31,BTV,Burlington International Airport,44.471900939899996,-73.15329742429999,2.3
2013-04-04,TPA,Tampa International Airport,27.975500106811523,-82.533203125,3.5
2013-03-28,EWR,Newark Liberty International Airport,40.692501,-74.168701,5.2
2013-08-28,JFK,John F Kennedy International Airport,40.639801,-73.7789,2.0
2013-09-26,LGA,La Guardia Airport,40.777199,-73.872597,3.5
2013-09-28,EWR,Newark Liberty International Airport,40.692501,-74.168701,3.2
2013-09-15,SAN,San Diego International Airport,32.7336006165,-117.190002441,2.2
2013-02-15,ROC,Greater Rochester International Airport,43.1189,-77.672401,7.6
2013-04-02,BTV,Burlington International Airport,44.471900939899996,-73.15329742429999,4.9
2013-04-07,PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905,2.4
2013-12-22,BOS,Logan International Airport,42.3643,-71.005203,3.4
2013-12-09,PIT,Pittsburgh International Airport,40.49150085,-80.23290253,3.9
2013-02-06,CRW,Yeager Airport,38.37310028076172,-81.59320068359375,2.0
2013-12-19,ROC,Greater Rochester International Airport,43.1189,-77.672401,4.1
2013-04-21,AVL,Asheville Regional Airport,35.436199,-82.541801,2.2
2013-01-30,IAH,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,5.7
2013-04-22,IND,Indianapolis International Airport,39.7173,-86.294403,2.8
2013-12-01,SBN,South Bend Regional Airport,41.708698,-86.317299,2.4
2013-12-31,ROC,Greater Rochester International Airport,43.1189,-77.672401,5.3
2013-03-06,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,3.0
2013-11-24,JAX,Jacksonville International Airport,30.49410057067871,-81.68789672851562,6.2
2013-12-30,BUR,Bob Hope Airport,34.197703,-118.356378,1.6
2013-12-31,DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,5.0
2013-10-15,SMF,Sacramento International Airport,38.69540023803711,-121.59100341796875,4.4
2013-04-23,JFK,John F Kennedy International Airport,40.639801,-73.7789,6.7
2013-12-20,SAN,San Diego International Airport,32.7336006165,-117.190002441,2.2
2013-02-13,SEA,Seattle Tacoma International Airport,47.449001,-122.308998,4.2
2013-01-24,MSN,Dane County Regional Truax Field,43.1399,-89.337502,3.0
2013-10-12,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,1.5
2013-02-12,SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266,2.4
2013-02-21,BOS,Logan International Airport,42.3643,-71.005203,8.0
2013-03-08,EGE,Eagle County Regional Airport,39.64260101,-106.9179993,1.6
2013-01-25,ORD,Chicago O'Hare International Airport,41.9786,-87.9048,5.3
2013-01-12,SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,2.3
2013-10-12,SMF,Sacramento International Airport,38.69540023803711,-121.59100341796875,3.0
2013-11-16,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,5.2
2013-03-16,BTV,Burlington International Airport,44.471900939899996,-73.15329742429999,3.4
2013-01-17,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,3.8
2013-10-21,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,4.6
2013-06-19,EWR,Newark Liberty International Airport,40.692501,-74.168701,4.5
